"Report data for year","Country","Bias Motivation","Type of Crime","Recorded by Police"
"2014","United States of America","Disability hate crime","Physical assault","30"
"2014","United States of America","Hate crime against Christians and members of other religions","Theft/ robbery","39"
"2014","United States of America","Hate crime against Christians and members of other religions","Arson","9"
"2014","United States of America","Hate crime against Christians and members of other religions","Threats/ threatening behaviour","37"
"2014","United States of America","Hate crime against Christians and members of other religions","Unspecified","12"
"2014","United States of America","Anti-LGBTI hate crime","Physical assault","619"
"2014","United States of America","Anti-LGBTI hate crime","Damage to property","225"
"2014","United States of America","Anti-LGBTI hate crime","Theft/ robbery","109"
"2014","United States of America","Anti-LGBTI hate crime","Arson","2"
"2014","United States of America","Anti-LGBTI hate crime","Threats/ threatening behaviour","322"
"2014","United States of America","Anti-LGBTI hate crime","Unspecified","10"
"2014","United States of America","Hate crime against Christians and members of other religions","Damage to property","141"
"2014","United States of America","Disability hate crime","Damage to property","14"
"2014","United States of America","Disability hate crime","Theft/ robbery","18"
"2014","United States of America","Disability hate crime","Threats/ threatening behaviour","22"
"2014","United States of America","Disability hate crime","Unspecified","11"
"2014","United States of America","Unspecified","Physical assault","14"
"2014","United States of America","Unspecified","Damage to property","3"
"2014","United States of America","Unspecified","Theft/ robbery","5"
"2014","United States of America","Unspecified","Threats/ threatening behaviour","14"
"2014","United States of America","Unspecified","Unspecified","4"
"2014","United States of America","Anti-Semitic hate crime","Arson","2"
"2014","United States of America","Racist and xenophobic hate crime","Physical assault","1454"
"2014","United States of America","Racist and xenophobic hate crime","Damage to property","805"
"2014","United States of America","Racist and xenophobic hate crime","Theft/ robbery","348"
"2014","United States of America","Racist and xenophobic hate crime","Arson","11"
"2014","United States of America","Racist and xenophobic hate crime","Threats/ threatening behaviour","1186"
"2014","United States of America","Racist and xenophobic hate crime","Unspecified","63"
"2014","United States of America","Anti-Semitic hate crime","Physical assault","69"
"2014","United States of America","Anti-Semitic hate crime","Damage to property","451"
"2014","United States of America","Anti-Semitic hate crime","Theft/ robbery","14"
"2014","United States of America","Racist and xenophobic hate crime","Homicide","4"
"2014","United States of America","Anti-Semitic hate crime","Threats/ threatening behaviour","93"
"2014","United States of America","Anti-Semitic hate crime","Unspecified","6"
"2014","United States of America","Anti-Muslim hate crime","Physical assault","56"
"2014","United States of America","Anti-Muslim hate crime","Damage to property","45"
"2014","United States of America","Anti-Muslim hate crime","Theft/ robbery","7"
"2014","United States of America","Anti-Muslim hate crime","Arson","1"
"2014","United States of America","Anti-Muslim hate crime","Threats/ threatening behaviour","64"
"2014","United States of America","Anti-Muslim hate crime","Unspecified","5"
"2014","United States of America","Hate crime against Christians and members of other religions","Physical assault","41"
