Report data for year,Country,Bias Motivation,Type of Crime,Recorded by Police
2017,United States of America,Anti-LGBTI hate crime,Theft/ robbery,120
2017,United States of America,Other hate crime based on religion or belief,Theft/ robbery,34
2017,United States of America,Other hate crime based on religion or belief,Damage to property,70
2017,United States of America,Other hate crime based on religion or belief,Arson,3
2017,United States of America,Other hate crime based on religion or belief,Threats/ threatening behaviour,32
2017,United States of America,Other hate crime based on religion or belief,Unspecified,20
2017,United States of America,Gender-based hate crime,Physical assault,20
2017,United States of America,Gender-based hate crime,Theft/ robbery,7
2017,United States of America,Gender-based hate crime,Damage to property,13
2017,United States of America,Gender-based hate crime,Threats/ threatening behaviour,8
2017,United States of America,Gender-based hate crime,Unspecified,5
2017,United States of America,Anti-LGBTI hate crime,Homicide,2
2017,United States of America,Anti-LGBTI hate crime,Physical assault,703
2017,United States of America,Other hate crime based on religion or belief,Physical assault,47
2017,United States of America,Anti-LGBTI hate crime,Damage to property,221
2017,United States of America,Anti-LGBTI hate crime,Arson,7
2017,United States of America,Anti-LGBTI hate crime,Threats/ threatening behaviour,352
2017,United States of America,Anti-LGBTI hate crime,Unspecified,29
2017,United States of America,Disability hate crime,Homicide,1
2017,United States of America,Disability hate crime,Physical assault,47
2017,United States of America,Disability hate crime,Theft/ robbery,20
2017,United States of America,Disability hate crime,Damage to property,8
2017,United States of America,Disability hate crime,Arson,2
2017,United States of America,Disability hate crime,Threats/ threatening behaviour,23
2017,United States of America,Disability hate crime,Unspecified,27
2017,United States of America,Anti-Muslim hate crime,Physical assault,105
2017,United States of America,Racist and xenophobic hate crime,Physical assault,1611
2017,United States of America,Racist and xenophobic hate crime,Theft/ robbery,410
2017,United States of America,Racist and xenophobic hate crime,Damage to property,1111
2017,United States of America,Racist and xenophobic hate crime,Arson,24
2017,United States of America,Racist and xenophobic hate crime,Threats/ threatening behaviour,1442
2017,United States of America,Racist and xenophobic hate crime,Unspecified,223
2017,United States of America,Anti-Semitic hate crime,Physical assault,69
2017,United States of America,Anti-Semitic hate crime,Theft/ robbery,26
2017,United States of America,Anti-Semitic hate crime,Damage to property,696
2017,United States of America,Anti-Semitic hate crime,Arson,2
2017,United States of America,Anti-Semitic hate crime,Threats/ threatening behaviour,179
2017,United States of America,Anti-Semitic hate crime,Unspecified,4
2017,United States of America,Racist and xenophobic hate crime,Homicide,11
2017,United States of America,Anti-Muslim hate crime,Theft/ robbery,14
2017,United States of America,Anti-Muslim hate crime,Damage to property,80
2017,United States of America,Anti-Muslim hate crime,Threats/ threatening behaviour,110
2017,United States of America,Anti-Muslim hate crime,Unspecified,5
2017,United States of America,Anti-Christian hate crime,Physical assault,19
2017,United States of America,Anti-Christian hate crime,Theft/ robbery,30
2017,United States of America,Anti-Christian hate crime,Damage to property,92
2017,United States of America,Anti-Christian hate crime,Arson,3
2017,United States of America,Anti-Christian hate crime,Threats/ threatening behaviour,10
2017,United States of America,Anti-Christian hate crime,Unspecified,28
2017,United States of America,Other hate crime based on religion or belief,Homicide,1
