"Report data for year","Country","Bias Motivation","Type of Crime","Recorded by Police"
"2013","United States of America","Disability hate crime","Physical assault","23"
"2013","United States of America","Hate crime against Christians and members of other religions","Arson","12"
"2013","United States of America","Hate crime against Christians and members of other religions","Threats/ threatening behaviour","50"
"2013","United States of America","Hate crime against Christians and members of other religions","Unspecified","8"
"2013","United States of America","Anti-LGBTI hate crime","Homicide","2"
"2013","United States of America","Anti-LGBTI hate crime","Physical assault","766"
"2013","United States of America","Anti-LGBTI hate crime","Damage to property","227"
"2013","United States of America","Anti-LGBTI hate crime","Arson","2"
"2013","United States of America","Anti-LGBTI hate crime","Theft/ robbery","103"
"2013","United States of America","Anti-LGBTI hate crime","Threats/ threatening behaviour","322"
"2013","United States of America","Anti-LGBTI hate crime","Unspecified","13"
"2013","United States of America","Hate crime against Christians and members of other religions","Theft/ robbery","47"
"2013","United States of America","Disability hate crime","Damage to property","11"
"2013","United States of America","Disability hate crime","Theft/ robbery","26"
"2013","United States of America","Disability hate crime","Threats/ threatening behaviour","21"
"2013","United States of America","Disability hate crime","Unspecified","11"
"2013","United States of America","Unspecified","Physical assault","23"
"2013","United States of America","Unspecified","Damage to property","1"
"2013","United States of America","Unspecified","Theft/ robbery","3"
"2013","United States of America","Unspecified","Threats/ threatening behaviour","2"
"2013","United States of America","Unspecified","Unspecified","1"
"2013","United States of America","Anti-Semitic hate crime","Threats/ threatening behaviour","152"
"2013","United States of America","Racist and xenophobic hate crime","Physical assault","1500"
"2013","United States of America","Racist and xenophobic hate crime","Damage to property","891"
"2013","United States of America","Racist and xenophobic hate crime","Theft/ robbery","341"
"2013","United States of America","Racist and xenophobic hate crime","Arson","17"
"2013","United States of America","Racist and xenophobic hate crime","Threats/ threatening behaviour","1322"
"2013","United States of America","Racist and xenophobic hate crime","Unspecified","127"
"2013","United States of America","Anti-Semitic hate crime","Physical assault","77"
"2013","United States of America","Anti-Semitic hate crime","Damage to property","437"
"2013","United States of America","Anti-Semitic hate crime","Theft/ robbery","18"
"2013","United States of America","Anti-Semitic hate crime","Arson","4"
"2013","United States of America","Racist and xenophobic hate crime","Homicide","3"
"2013","United States of America","Anti-Semitic hate crime","Unspecified","1"
"2013","United States of America","Anti-Muslim hate crime","Physical assault","59"
"2013","United States of America","Anti-Muslim hate crime","Damage to property","43"
"2013","United States of America","Anti-Muslim hate crime","Theft/ robbery","6"
"2013","United States of America","Anti-Muslim hate crime","Arson","1"
"2013","United States of America","Anti-Muslim hate crime","Threats/ threatening behaviour","53"
"2013","United States of America","Anti-Muslim hate crime","Unspecified","3"
"2013","United States of America","Hate crime against Christians and members of other religions","Physical assault","22"
"2013","United States of America","Hate crime against Christians and members of other religions","Damage to property","169"
