Report data for year,Country,Bias Motivation,Type of Crime,Recorded by Police
2020,United States of America,Anti-LGBTI hate crime,Physical assault,744
2020,United States of America,Other hate crime based on religion or belief,Theft/ robbery,52
2020,United States of America,Other hate crime based on religion or belief,Damage to property,93
2020,United States of America,Other hate crime based on religion or belief,Arson,4
2020,United States of America,Other hate crime based on religion or belief,Threats/ threatening behaviour,27
2020,United States of America,Other hate crime based on religion or belief,Unspecified,29
2020,United States of America,Gender-based hate crime,Physical assault,43
2020,United States of America,Gender-based hate crime,Sexual assault,2
2020,United States of America,Gender-based hate crime,Theft/ robbery,7
2020,United States of America,Gender-based hate crime,Damage to property,4
2020,United States of America,Gender-based hate crime,Threats/ threatening behaviour,16
2020,United States of America,Gender-based hate crime,Unspecified,9
2020,United States of America,Anti-LGBTI hate crime,Homicide,13
2020,United States of America,Other hate crime based on religion or belief,Physical assault,52
2020,United States of America,Anti-LGBTI hate crime,Sexual assault,7
2020,United States of America,Anti-LGBTI hate crime,Theft/ robbery,154
2020,United States of America,Anti-LGBTI hate crime,Damage to property,199
2020,United States of America,Anti-LGBTI hate crime,Arson,9
2020,United States of America,Anti-LGBTI hate crime,Threats/ threatening behaviour,1314
2020,United States of America,Anti-LGBTI hate crime,Unspecified,39
2020,United States of America,Disability hate crime,Physical assault,59
2020,United States of America,Disability hate crime,Sexual assault,2
2020,United States of America,Disability hate crime,Theft/ robbery,36
2020,United States of America,Disability hate crime,Damage to property,14
2020,United States of America,Disability hate crime,Threats/ threatening behaviour,21
2020,United States of America,Disability hate crime,Unspecified,19
2020,United States of America,Anti-Semitic hate crime,Threats/ threatening behaviour,209
2020,United States of America,Racist and xenophobic hate crime,Physical assault,2431
2020,United States of America,Racist and xenophobic hate crime,Sexual assault,10
2020,United States of America,Racist and xenophobic hate crime,Theft/ robbery,335
2020,United States of America,Racist and xenophobic hate crime,Damage to property,1335
2020,United States of America,Racist and xenophobic hate crime,Arson,36
2020,United States of America,Racist and xenophobic hate crime,Threats/ threatening behaviour,2296
2020,United States of America,Racist and xenophobic hate crime,Unspecified,206
2020,United States of America,Anti-Semitic hate crime,Homicide,1
2020,United States of America,Anti-Semitic hate crime,Physical assault,93
2020,United States of America,Anti-Semitic hate crime,Theft/ robbery,23
2020,United States of America,Anti-Semitic hate crime,Damage to property,460
2020,United States of America,Anti-Semitic hate crime,Arson,1
2020,United States of America,Racist and xenophobic hate crime,Homicide,8
2020,United States of America,Anti-Semitic hate crime,Unspecified,7
2020,United States of America,Anti-Muslim hate crime,Physical assault,44
2020,United States of America,Anti-Muslim hate crime,Theft/ robbery,12
2020,United States of America,Anti-Muslim hate crime,Damage to property,23
2020,United States of America,Anti-Muslim hate crime,Arson,4
2020,United States of America,Anti-Muslim hate crime,Threats/ threatening behaviour,43
2020,United States of America,Anti-Christian hate crime,Physical assault,35
2020,United States of America,Anti-Christian hate crime,Theft/ robbery,40
2020,United States of America,Anti-Christian hate crime,Damage to property,95
2020,United States of America,Anti-Christian hate crime,Arson,9
2020,United States of America,Anti-Christian hate crime,Threats/ threatening behaviour,14
2020,United States of America,Anti-Christian hate crime,Unspecified,32
