Report data for year,Country,Bias Motivation,Type of Crime,Recorded by Police
2021,United States of America,Anti-LGBTI hate crime,Arson,23
2021,United States of America,Gender-based hate crime,Damage to property,19
2021,United States of America,Gender-based hate crime,Threats/ threatening behaviour,29
2021,United States of America,Gender-based hate crime,Unspecified,4
2021,United States of America,Anti-LGBTI hate crime,Homicide,5
2021,United States of America,Anti-LGBTI hate crime,Physical assault,1054
2021,United States of America,Anti-LGBTI hate crime,Sexual assault,5
2021,United States of America,Anti-LGBTI hate crime,Theft/ robbery,178
2021,United States of America,Anti-LGBTI hate crime,Damage to property,365
2021,United States of America,Gender-based hate crime,Theft/ robbery,11
2021,United States of America,Anti-LGBTI hate crime,Threats/ threatening behaviour,645
2021,United States of America,Anti-LGBTI hate crime,Unspecified,39
2021,United States of America,Disability hate crime,Homicide,1
2021,United States of America,Disability hate crime,Physical assault,62
2021,United States of America,Disability hate crime,Theft/ robbery,36
2021,United States of America,Disability hate crime,Damage to property,27
2021,United States of America,Disability hate crime,Threats/ threatening behaviour,26
2021,United States of America,Disability hate crime,Unspecified,16
2021,United States of America,Other hate crime based on religion or belief,Sexual assault,4
2021,United States of America,Racist and xenophobic hate crime,Physical assault,3094
2021,United States of America,Racist and xenophobic hate crime,Sexual assault,7
2021,United States of America,Racist and xenophobic hate crime,Theft/ robbery,458
2021,United States of America,Racist and xenophobic hate crime,Damage to property,1564
2021,United States of America,Racist and xenophobic hate crime,Arson,21
2021,United States of America,Racist and xenophobic hate crime,Threats/ threatening behaviour,2382
2021,United States of America,Racist and xenophobic hate crime,Unspecified,207
2021,United States of America,Other hate crime based on religion or belief,Physical assault,276
2021,United States of America,Racist and xenophobic hate crime,Homicide,3
2021,United States of America,Other hate crime based on religion or belief,Theft/ robbery,183
2021,United States of America,Other hate crime based on religion or belief,Damage to property,799
2021,United States of America,Other hate crime based on religion or belief,Arson,19
2021,United States of America,Other hate crime based on religion or belief,Threats/ threatening behaviour,341
2021,United States of America,Other hate crime based on religion or belief,Unspecified,68
2021,United States of America,Gender-based hate crime,Physical assault,46
2021,United States of America,Gender-based hate crime,Sexual assault,3
