"Report data for year","Country","Bias Motivation","Type of Crime","Recorded by Police"
"2011","United States of America","Hate crime against Christians and members of other religions","Physical assault","31"
"2011","United States of America","Unspecified","","14"
"2011","United States of America","Anti-LGBTI hate crime","Unspecified","105"
"2011","United States of America","Anti-LGBTI hate crime","Threats/ threatening behaviour","380"
"2011","United States of America","Anti-LGBTI hate crime","Vandalism","275"
"2011","United States of America","Anti-LGBTI hate crime","Physical assault","745"
"2011","United States of America","Anti-LGBTI hate crime","Homicide","3"
"2011","United States of America","Disability hate crime","Unspecified","11"
"2011","United States of America","Disability hate crime","Threats/ threatening behaviour","15"
"2011","United States of America","Disability hate crime","Vandalism","8"
"2011","United States of America","Disability hate crime","Physical assault","24"
"2011","United States of America","Hate crime against Christians and members of other religions","Unspecified","66"
"2011","United States of America","Hate crime against Christians and members of other religions","Threats/ threatening behaviour","34"
"2011","United States of America","Hate crime against Christians and members of other religions","Vandalism","192"
"2011","United States of America","Racist and xenophobic hate crime","Homicide","1"
"2011","United States of America","Anti-Muslim hate crime","Unspecified","11"
"2011","United States of America","Anti-Muslim hate crime","Threats/ threatening behaviour","70"
"2011","United States of America","Anti-Muslim hate crime","Vandalism","39"
"2011","United States of America","Anti-Muslim hate crime","Physical assault","55"
"2011","United States of America","Anti-Semitic hate crime","Unspecified","26"
"2011","United States of America","Anti-Semitic hate crime","Threats/ threatening behaviour","187"
"2011","United States of America","Anti-Semitic hate crime","Vandalism","549"
"2011","United States of America","Anti-Semitic hate crime","Physical assault","58"
"2011","United States of America","Racist and xenophobic hate crime","Unspecified","302"
"2011","United States of America","Racist and xenophobic hate crime","Threats/ threatening behaviour","1415"
"2011","United States of America","Racist and xenophobic hate crime","Vandalism","1058"
"2011","United States of America","Racist and xenophobic hate crime","Physical assault","1580"
