Report data for year,Country,Bias Motivation,Type of Crime,Recorded by Police
2015,United States of America,Anti-LGBTI hate crime,Threats/ threatening behaviour,272
2015,United States of America,Hate crime against Christians and members of other religions,Damage to property,161
2015,United States of America,Hate crime against Christians and members of other religions,Theft/ robbery,65
2015,United States of America,Hate crime against Christians and members of other religions,Arson,7
2015,United States of America,Hate crime against Christians and members of other religions,Threats/ threatening behaviour,46
2015,United States of America,Hate crime against Christians and members of other religions,Unspecified,13
2015,United States of America,Anti-LGBTI hate crime,Homicide,2
2015,United States of America,Anti-LGBTI hate crime,Physical assault,739
2015,United States of America,Anti-LGBTI hate crime,Damage to property,183
2015,United States of America,Anti-LGBTI hate crime,Theft/ robbery,116
2015,United States of America,Anti-LGBTI hate crime,Arson,3
2015,United States of America,Hate crime against Christians and members of other religions,Physical assault,66
2015,United States of America,Anti-LGBTI hate crime,Unspecified,22
2015,United States of America,Disability hate crime,Physical assault,38
2015,United States of America,Disability hate crime,Damage to property,14
2015,United States of America,Disability hate crime,Threats/ threatening behaviour,16
2015,United States of America,Disability hate crime,Unspecified,10
2015,United States of America,Unspecified,Physical assault,16
2015,United States of America,Unspecified,Damage to property,2
2015,United States of America,Unspecified,Theft/ robbery,3
2015,United States of America,Unspecified,Threats/ threatening behaviour,8
2015,United States of America,Anti-Semitic hate crime,Arson,4
2015,United States of America,Racist and xenophobic hate crime,Physical assault,1529
2015,United States of America,Racist and xenophobic hate crime,Damage to property,809
2015,United States of America,Racist and xenophobic hate crime,Theft/ robbery,308
2015,United States of America,Racist and xenophobic hate crime,Arson,14
2015,United States of America,Racist and xenophobic hate crime,Threats/ threatening behaviour,1528
2015,United States of America,Racist and xenophobic hate crime,Unspecified,100
2015,United States of America,Anti-Semitic hate crime,Physical assault,100
2015,United States of America,Anti-Semitic hate crime,Damage to property,447
2015,United States of America,Anti-Semitic hate crime,Theft/ robbery,
2015,United States of America,Racist and xenophobic hate crime,Homicide,11
2015,United States of America,Anti-Semitic hate crime,Threats/ threatening behaviour,114
2015,United States of America,Anti-Semitic hate crime,Unspecified,3
2015,United States of America,Anti-Muslim hate crime,Homicide,4
2015,United States of America,Anti-Muslim hate crime,Physical assault,91
2015,United States of America,Anti-Muslim hate crime,Damage to property,70
2015,United States of America,Anti-Muslim hate crime,Theft/ robbery,12
2015,United States of America,Anti-Muslim hate crime,Arson,1
2015,United States of America,Anti-Muslim hate crime,Threats/ threatening behaviour,120
2015,United States of America,Anti-Muslim hate crime,Unspecified,3
