Report data for year,Country,Bias Motivation,Type of Crime,Recorded by Police
2016,United States of America,Anti-LGBTI hate crime,Homicide,1
2016,United States of America,Other hate crime based on religion or belief,Physical assault,35
2016,United States of America,Other hate crime based on religion or belief,Theft/ robbery,15
2016,United States of America,Other hate crime based on religion or belief,Damage to property,73
2016,United States of America,Other hate crime based on religion or belief,Arson,4
2016,United States of America,Other hate crime based on religion or belief,Threats/ threatening behaviour,38
2016,United States of America,Other hate crime based on religion or belief,Unspecified,7
2016,United States of America,Gender-based hate crime,Homicide,1
2016,United States of America,Gender-based hate crime,Physical assault,17
2016,United States of America,Gender-based hate crime,Theft/ robbery,3
2016,United States of America,Gender-based hate crime,Damage to property,7
2016,United States of America,Gender-based hate crime,Threats/ threatening behaviour,7
2016,United States of America,Gender-based hate crime,Unspecified,1
2016,United States of America,Anti-Christian hate crime,Unspecified,10
2016,United States of America,Anti-LGBTI hate crime,Physical assault,695
2016,United States of America,Anti-LGBTI hate crime,Theft/ robbery,86
2016,United States of America,Anti-LGBTI hate crime,Damage to property,233
2016,United States of America,Anti-LGBTI hate crime,Arson,7
2016,United States of America,Anti-LGBTI hate crime,Threats/ threatening behaviour,305
2016,United States of America,Anti-LGBTI hate crime,Unspecified,21
2016,United States of America,Disability hate crime,Physical assault,40
2016,United States of America,Disability hate crime,Theft/ robbery,12
2016,United States of America,Disability hate crime,Damage to property,6
2016,United States of America,Disability hate crime,Threats/ threatening behaviour,9
2016,United States of America,Disability hate crime,Unspecified,9
2016,United States of America,Anti-Semitic hate crime,Unspecified,2
2016,United States of America,Racist and xenophobic hate crime,Physical assault,1560
2016,United States of America,Racist and xenophobic hate crime,Theft/ robbery,309
2016,United States of America,Racist and xenophobic hate crime,Damage to property,916
2016,United States of America,Racist and xenophobic hate crime,Arson,13
2016,United States of America,Racist and xenophobic hate crime,Threats/ threatening behaviour,1320
2016,United States of America,Racist and xenophobic hate crime,Unspecified,104
2016,United States of America,Anti-Semitic hate crime,Physical assault,73
2016,United States of America,Anti-Semitic hate crime,Theft/ robbery,28
2016,United States of America,Anti-Semitic hate crime,Damage to property,489
2016,United States of America,Anti-Semitic hate crime,Arson,4
2016,United States of America,Anti-Semitic hate crime,Threats/ threatening behaviour,238
2016,United States of America,Racist and xenophobic hate crime,Homicide,7
2016,United States of America,Anti-Muslim hate crime,Physical assault,127
2016,United States of America,Anti-Muslim hate crime,Theft/ robbery,9
2016,United States of America,Anti-Muslim hate crime,Damage to property,92
2016,United States of America,Anti-Muslim hate crime,Arson,5
2016,United States of America,Anti-Muslim hate crime,Threats/ threatening behaviour,144
2016,United States of America,Anti-Muslim hate crime,Unspecified,4
2016,United States of America,Anti-Christian hate crime,Physical assault,19
2016,United States of America,Anti-Christian hate crime,Theft/ robbery,38
2016,United States of America,Anti-Christian hate crime,Damage to property,66
2016,United States of America,Anti-Christian hate crime,Arson,5
2016,United States of America,Anti-Christian hate crime,Threats/ threatening behaviour,13
