Report data for year,Country,Bias Motivation,Type of Crime,Recorded by Police
2019,United States of America,Gender-based hate crime,Unspecified,7
2019,United States of America,Anti-Christian hate crime,Unspecified,18
2019,United States of America,Other hate crime based on religion or belief,Homicide,4
2019,United States of America,Other hate crime based on religion or belief,Physical assault,38
2019,United States of America,Other hate crime based on religion or belief,Theft/ robbery,37
2019,United States of America,Other hate crime based on religion or belief,Damage to property,71
2019,United States of America,Other hate crime based on religion or belief,Arson,11
2019,United States of America,Other hate crime based on religion or belief,Threats/ threatening behaviour,29
2019,United States of America,Other hate crime based on religion or belief,Unspecified,28
2019,United States of America,Gender-based hate crime,Physical assault,38
2019,United States of America,Gender-based hate crime,Theft/ robbery,4
2019,United States of America,Gender-based hate crime,Damage to property,12
2019,United States of America,Gender-based hate crime,Arson,1
2019,United States of America,Gender-based hate crime,Threats/ threatening behaviour,18
2019,United States of America,Anti-Christian hate crime,Threats/ threatening behaviour,35
2019,United States of America,Anti-LGBTI hate crime,Homicide,8
2019,United States of America,Anti-LGBTI hate crime,Physical assault,876
2019,United States of America,Anti-LGBTI hate crime,Theft/ robbery,56
2019,United States of America,Anti-LGBTI hate crime,Damage to property,248
2019,United States of America,Anti-LGBTI hate crime,Arson,4
2019,United States of America,Anti-LGBTI hate crime,Threats/ threatening behaviour,396
2019,United States of America,Anti-LGBTI hate crime,Unspecified,31
2019,United States of America,Disability hate crime,Physical assault,72
2019,United States of America,Disability hate crime,Theft/ robbery,44
2019,United States of America,Disability hate crime,Damage to property,12
2019,United States of America,Disability hate crime,Threats/ threatening behaviour,15
2019,United States of America,Disability hate crime,Unspecified,26
2019,United States of America,Anti-Semitic hate crime,Unspecified,2
2019,United States of America,Racist and xenophobic hate crime,Physical assault,2025
2019,United States of America,Racist and xenophobic hate crime,Theft/ robbery,208
2019,United States of America,Racist and xenophobic hate crime,Damage to property,901
2019,United States of America,Racist and xenophobic hate crime,Arson,16
2019,United States of America,Racist and xenophobic hate crime,Threats/ threatening behaviour,1385
2019,United States of America,Racist and xenophobic hate crime,Unspecified,218
2019,United States of America,Anti-Semitic hate crime,Homicide,6
2019,United States of America,Anti-Semitic hate crime,Physical assault,108
2019,United States of America,Anti-Semitic hate crime,Theft/ robbery,21
2019,United States of America,Anti-Semitic hate crime,Damage to property,684
2019,United States of America,Anti-Semitic hate crime,Arson,10
2019,United States of America,Anti-Semitic hate crime,Threats/ threatening behaviour,164
2019,United States of America,Racist and xenophobic hate crime,Homicide,31
2019,United States of America,Anti-Muslim hate crime,Homicide,1
2019,United States of America,Anti-Muslim hate crime,Physical assault,85
2019,United States of America,Anti-Muslim hate crime,Theft/ robbery,4
2019,United States of America,Anti-Muslim hate crime,Damage to property,31
2019,United States of America,Anti-Muslim hate crime,Arson,4
2019,United States of America,Anti-Muslim hate crime,Threats/ threatening behaviour,92
2019,United States of America,Anti-Muslim hate crime,Unspecified,2
2019,United States of America,Anti-Christian hate crime,Homicide,1
2019,United States of America,Anti-Christian hate crime,Physical assault,28
2019,United States of America,Anti-Christian hate crime,Theft/ robbery,36
2019,United States of America,Anti-Christian hate crime,Damage to property,91
2019,United States of America,Anti-Christian hate crime,Arson,9
